Country,Population Density,Population,Area
Albania,123,3563112,28748
Germany,230,82431390,357021
Andorra,174,81222,476
Austria,97,8184691,83870
Belgium,339,10364388,30528
Belarus,49,10300483,207600
Bosnia and Herzegovina,78,4025476,51129
Bulgaria,67,7450349,110910
Croatia,79,4495904,56542
Cyprus,84,780133,9250
Czechia,129,10241138,78866
Denmark,126,5432335,43094
Estonia,29,1332893,45226
Finland,15,5223442,338145
France,110,60656178,547030
Georgia,67,4677401,69700
Greece,80,10668354,131940
Hungary,108,10084000,93030
Iceland,2,296737,103000
Ireland,57,4015676,70280
Italy,192,58103033,301230
Latvia,35,2290237,64589
Liechtenstein,210,33717,160
Lithuania,55,3596617,65200
Luxembourg,181,468571,2586
Malta,1321,417617,316
Montenegro,44,620029,13812
Netherlands,406,17100475,41528
North Macedonia,80,2045262,25333
Norway,14,4593041,324220
Poland,123,38635144,312685
Portugal,114,10223980,92090
Romania,94,22329977,237500
Russia,8,143420309,17075200
Serbia,100,8850012,88361
Slovakia,111,5431363,48845
Slovenia,99,2011070,20273
Spain,91,46063511,504782
Sweden,20,9001774,449964
Switzerland,181,7489370,41290
Turkey,89,69660559,780580
Ukraine,78,47425336,603700
United Kingdom,243,59553800,244820
United States,33.75,308745538,9631418
